Cep,Rua,Complemento,Bairro,Cidade
38412-462,Rua Seir,,Jardim Canaã,Uberlândia/MG
38412-398,Rua Sião,,Jardim Canaã,Uberlândia/MG
38412-410,Rua Silde,,Jardim Canaã,Uberlândia/MG
38412-468,Rua Siloé,,Jardim Canaã,Uberlândia/MG
38412-483,Rua Silvio César Lima,,Jardim Canaã,Uberlândia/MG
38412-424,Rua Sinai,,Jardim Canaã,Uberlândia/MG
38412-432,Rua Tabor,,Jardim Canaã,Uberlândia/MG
38412-396,Rua Tamar,,Jardim Canaã,Uberlândia/MG
38412-464,Rua Tarso,,Jardim Canaã,Uberlândia/MG
38412-446,Rua Tebas,,Jardim Canaã,Uberlândia/MG
38412-487,Rua Tercilio Rodrigues Queiroz,,Jardim Canaã,Uberlândia/MG
38412-458,Rua Trípoli,,Jardim Canaã,Uberlândia/MG
38412-473,Rua Ulisses Finotti,,Jardim Canaã,Uberlândia/MG
38412-776,Rua Valdivino Luiz da Silva,,Jardim Canaã,Uberlândia/MG
38412-772,Rua Zania Maria da Silva Duarte,,Jardim Canaã,Uberlândia/MG
38412-440,Rua Zora,,Jardim Canaã,Uberlândia/MG
38411-346,Rua Alexandrina de Castro Cunha,,Jardim Colina,Uberlândia/MG
38411-342,Rua Belkina Carvalho Cunha,,Jardim Colina,Uberlândia/MG
38411-344,Rua Ernestina Castro Cunha,,Jardim Colina,Uberlândia/MG
38411-340,Rua Fábio Andrade Cunha,,Jardim Colina,Uberlândia/MG
38411-345,Rua Guilhermino R. Cunha,,Jardim Colina,Uberlândia/MG
38411-338,Rua José Cunha Chaves,,Jardim Colina,Uberlândia/MG
38411-336,Rua Maria da Conceição de Andrade,,Jardim Colina,Uberlândia/MG
38411-334,Rua Maria Salvina Carvalho,,Jardim Colina,Uberlândia/MG
38411-341,Rua Rita Cândida de Andrade,,Jardim Colina,Uberlândia/MG
38412-317,Acesso MG-900,,Jardim das Palmeiras,Uberlândia/MG
38412-258,Avenida dos Pássaros,,Jardim das Palmeiras,Uberlândia/MG
38412-316,Avenida Getúlio Vargas,- de 3827/3828 ao fim,Jardim das Palmeiras,Uberlândia/MG
38412-284,Avenida João Patrus de Souza,,Jardim das Palmeiras,Uberlândia/MG
38412-266,Avenida Olímpio de Freitas,,Jardim das Palmeiras,Uberlândia/MG
38412-343,Avenida Paulo Firmino,- lado par,Jardim das Palmeiras,Uberlândia/MG
38412-260,Praça Teodora Santos,,Jardim das Palmeiras,Uberlândia/MG
38412-264,Rodovia BR-455,,Jardim das Palmeiras,Uberlândia/MG
38412-232,Rua Custódio Gama,,Jardim das Palmeiras,Uberlândia/MG
38412-298,Rua da Enfermeira,,Jardim das Palmeiras,Uberlândia/MG
38412-310,Rua da Telefonista,,Jardim das Palmeiras,Uberlândia/MG
38412-224,Rua das Aguias,,Jardim das Palmeiras,Uberlândia/MG
38412-230,Rua das Araras,,Jardim das Palmeiras,Uberlândia/MG
38412-252,Rua das Codornas,,Jardim das Palmeiras,Uberlândia/MG
38412-254,Rua das Pombas,,Jardim das Palmeiras,Uberlândia/MG
38412-220,Rua das Rolinhas,,Jardim das Palmeiras,Uberlândia/MG
38412-312,Rua do Advogado,,Jardim das Palmeiras,Uberlândia/MG
38412-348,Rua do Agrônomo,,Jardim das Palmeiras,Uberlândia/MG
38412-268,Rua do Alfaiate,,Jardim das Palmeiras,Uberlândia/MG
38412-308,Rua do Arquiteto,,Jardim das Palmeiras,Uberlândia/MG
38412-304,Rua do Artesão,,Jardim das Palmeiras,Uberlândia/MG
38412-270,Rua do Ceramista,,Jardim das Palmeiras,Uberlândia/MG
38412-272,Rua do Cientista,,Jardim das Palmeiras,Uberlândia/MG
38412-290,Rua do Comerciário,,Jardim das Palmeiras,Uberlândia/MG
38412-338,Rua do Contabilista,,Jardim das Palmeiras,Uberlândia/MG
38412-364,Rua do Decorador,,Jardim das Palmeiras,Uberlândia/MG
38412-274,Rua do Edil,,Jardim das Palmeiras,Uberlândia/MG
38412-360,Rua do Editor,,Jardim das Palmeiras,Uberlândia/MG
38412-336,Rua do Eletricista,,Jardim das Palmeiras,Uberlândia/MG
38412-368,Rua do Escritor,,Jardim das Palmeiras,Uberlândia/MG
38412-344,Rua do Estivador,,Jardim das Palmeiras,Uberlândia/MG
38412-218,Rua do Falcão,,Jardim das Palmeiras,Uberlândia/MG
38412-300,Rua do Farmacêutico,,Jardim das Palmeiras,Uberlândia/MG
38412-288,Rua do Fazendeiro,,Jardim das Palmeiras,Uberlândia/MG
38412-294,Rua do Garçon,,Jardim das Palmeiras,Uberlândia/MG
38412-314,Rua do Gari,,Jardim das Palmeiras,Uberlândia/MG
38412-352,Rua do Garimpeiro,,Jardim das Palmeiras,Uberlândia/MG
38412-356,Rua do Geógrafo,,Jardim das Palmeiras,Uberlândia/MG
38412-334,Rua do Historiador,,Jardim das Palmeiras,Uberlândia/MG
38412-306,Rua do Médico,,Jardim das Palmeiras,Uberlândia/MG
38412-286,Rua do Motorista,,Jardim das Palmeiras,Uberlândia/MG
38412-354,Rua do Navegador,,Jardim das Palmeiras,Uberlândia/MG
38412-292,Rua do Odontólogo,,Jardim das Palmeiras,Uberlândia/MG
38412-302,Rua do Pedreiro,,Jardim das Palmeiras,Uberlândia/MG
38412-366,Rua do Pescador,,Jardim das Palmeiras,Uberlândia/MG
38412-276,Rua do Poeta,,Jardim das Palmeiras,Uberlândia/MG
38412-340,Rua do Policial,,Jardim das Palmeiras,Uberlândia/MG
38412-296,Rua do Professor,,Jardim das Palmeiras,Uberlândia/MG
38412-332,Rua do Projetista,,Jardim das Palmeiras,Uberlândia/MG
38412-346,Rua do Químico,,Jardim das Palmeiras,Uberlândia/MG
38412-362,Rua do Relojoeiro,,Jardim das Palmeiras,Uberlândia/MG
38412-358,Rua do Repórter,,Jardim das Palmeiras,Uberlândia/MG
38412-278,Rua do Serralheiro,,Jardim das Palmeiras,Uberlândia/MG
38412-280,Rua do Topógrafo,,Jardim das Palmeiras,Uberlândia/MG
38412-342,Rua do Torneiro,,Jardim das Palmeiras,Uberlândia/MG
38412-222,Rua dos Bem-Te-Vis,,Jardim das Palmeiras,Uberlândia/MG
38412-256,Rua dos Cisnes,,Jardim das Palmeiras,Uberlândia/MG
38412-215,Rua dos Colibris,,Jardim das Palmeiras,Uberlândia/MG
38412-242,Rua dos Curiós,,Jardim das Palmeiras,Uberlândia/MG
38412-248,Rua dos Flamingos,,Jardim das Palmeiras,Uberlândia/MG
38412-226,Rua dos Marrecos,,Jardim das Palmeiras,Uberlândia/MG
38412-234,Rua dos Pássaros-Pretos,,Jardim das Palmeiras,Uberlândia/MG
38412-228,Rua dos Patos,,Jardim das Palmeiras,Uberlândia/MG
38412-236,Rua dos Periquitos,,Jardim das Palmeiras,Uberlândia/MG
38412-246,Rua dos Pica-Paus,,Jardim das Palmeiras,Uberlândia/MG
38412-240,Rua dos Rouxinóis,,Jardim das Palmeiras,Uberlândia/MG
38412-244,Rua dos Tico-Ticos,,Jardim das Palmeiras,Uberlândia/MG
38412-250,Rua dos Tucanos,,Jardim das Palmeiras,Uberlândia/MG
38412-339,Rua Enfermeira,,Jardim das Palmeiras,Uberlândia/MG
38412-282,Rua Jordão,,Jardim das Palmeiras,Uberlândia/MG
38412-238,Rua Melro,,Jardim das Palmeiras,Uberlândia/MG
38412-216,Rua Pavão,,Jardim das Palmeiras,Uberlândia/MG
38415-524,Avenida Árabe,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38415-536,Avenida Lago Azul,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38415-542,Avenida Mangalarga,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38415-551,Avenida Piquira,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38415-557,Avenida Quarto-de-Milha,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38415-521,Rua Appaloosa,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38415-527,Rua Bretão,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38415-530,Rua Campolina,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38415-533,Rua Crioulo,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38410-619,Rua Itutinha,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38415-539,Rua Lusitano,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38415-545,Rua Nordestino,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38415-548,Rua Pantaneiro,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38415-554,Rua Pônei,,Jardim dos Gravatás (Jockey Camping),Uberlândia/MG
38414-529,Acesso MG-900,,Jardim Europa,Uberlândia/MG
38414-630,Anel Viário Ayrton Senna,(St Oeste),Jardim Europa,Uberlândia/MG
38414-602,Avenida Amsterdã,,Jardim Europa,Uberlândia/MG
38414-628,Avenida Antônio Matias Montana,,Jardim Europa,Uberlândia/MG
38414-015,Avenida José Fonseca e Silva,- lado par,CEP Dona Zulmira Uberlândia/MG,Uberlândia/MG
38414-016,Avenida José Fonseca e Silva,- lado ímpar,CEP Dona Zulmira Uberlândia/MG,Uberlândia/MG
38414-073,Avenida José Fonseca e Silva,- lado par,CEP Jardim Patrícia Uberlândia/MG,Uberlândia/MG
38414-097,Avenida José Fonseca e Silva,- lado ímpar,CEP Jardim Patrícia Uberlândia/MG,Uberlândia/MG
38414-348,Avenida José Fonseca e Silva,- lado par,CEP Luizote de Freitas Uberlândia/MG,Uberlândia/MG
38414-387,Avenida José Fonseca e Silva,- lado ímpar,CEP Luizote de Freitas Uberlândia/MG,Uberlândia/MG
38414-425,Avenida José Fonseca e Silva,- lado ímpar,CEP Mansour Uberlândia/MG,Uberlândia/MG
38414-493,Avenida José Fonseca e Silva,- lado par,CEP Mansour Uberlândia/MG,Uberlândia/MG
38414-530,Avenida José Fonseca e Silva,- lado par,CEP Jardim Europa Uberlândia/MG,Uberlândia/MG
38414-531,Avenida José Fonseca e Silva,- lado ímpar,CEP Jardim Europa Uberlândia/MG,Uberlândia/MG
38414-642,Avenida Luiz Antônio Rocha e Silva,- até 799/800,CEP Jardim Europa Uberlândia/MG,Uberlândia/MG
38414-670,Avenida Luiz Antônio Rocha e Silva,- de 801/802 ao fim,CEP Jardim Europa Uberlândia/MG,Uberlândia/MG
38414-658,Avenida Lydia da Rocha e Silva,,Jardim Europa,Uberlândia/MG
38414-712,Avenida Pompeia,,Jardim Europa,Uberlândia/MG
38414-710,Avenida Rio Mississipi,- de 2 ao fim - lado par,Jardim Europa,Uberlândia/MG
38414-554,Avenida San Marino,,Jardim Europa,Uberlândia/MG
38414-676,Avenida Tonico Rezende,,Jardim Europa,Uberlândia/MG
38414-618,Avenida Veneza,,Jardim Europa,Uberlândia/MG
38414-583,Rodovia BR-497,"- do Km 4,000 ao Km 6,000",Jardim Europa,Uberlândia/MG
38412-529,Rodovia MG-900,- de 1998 ao fim - lado par,Jardim Europa,Uberlândia/MG
38414-587,Rua Abadia dos Dourados,,Jardim Europa,Uberlândia/MG
38414-646,Rua Ademovir Borges,,Jardim Europa,Uberlândia/MG
38414-698,Rua Alexandria,,Jardim Europa,Uberlândia/MG
38414-582,Rua Alfredo Vieira,,Jardim Europa,Uberlândia/MG
38414-586,Rua Ana Alves Maximiano,,Jardim Europa,Uberlândia/MG
38414-667,Rua Antônio José da Silva,,Jardim Europa,Uberlândia/MG
38414-528,Rua Antônio Luciano do Amaral,,Jardim Europa,Uberlândia/MG
38414-519,Rua Antuérpia,,Jardim Europa,Uberlândia/MG
38414-669,Rua Aparecida Gonçalves da Silva,,Jardim Europa,Uberlândia/MG
38414-534,Rua Barcelona,,Jardim Europa,Uberlândia/MG
38414-600,Rua Bari,,Jardim Europa,Uberlândia/MG
38414-524,Rua Belgrado,,Jardim Europa,Uberlândia/MG
38414-680,Rua Benito Segatto,,Jardim Europa,Uberlândia/MG
38414-697,Rua Bergamo,,Jardim Europa,Uberlândia/MG
38414-564,Rua Berlim,,Jardim Europa,Uberlândia/MG
38414-661,Rua Bernardino Alves do Nascimento,,Jardim Europa,Uberlândia/MG
38414-547,Rua Bolonha,,Jardim Europa,Uberlândia/MG
38414-567,Rua Bristol,,Jardim Europa,Uberlândia/MG
38414-520,Rua Bucareste,,Jardim Europa,Uberlândia/MG
38414-549,Rua Cáceres,,Jardim Europa,Uberlândia/MG
38414-708,Rua Capri,,Jardim Europa,Uberlândia/MG
38414-707,Rua Cascia,,Jardim Europa,Uberlândia/MG
38414-663,Rua Claudete Davanzo,,Jardim Europa,Uberlândia/MG
38414-578,Rua Coímbra,,Jardim Europa,Uberlândia/MG
38414-562,Rua Colônia,,Jardim Europa,Uberlândia/MG
38414-548,Rua Constança,,Jardim Europa,Uberlândia/MG
38414-535,Rua Córdoba,,Jardim Europa,Uberlândia/MG
38414-686,Rua Diego Francisco Dias,,Jardim Europa,Uberlândia/MG
38414-620,Rua Dyenifer Aparecida Costa Santos,,Jardim Europa,Uberlândia/MG
38414-570,Rua Eduardo Ferreira de Macedo,,Jardim Europa,Uberlândia/MG
38414-518,Rua Esparta,,Jardim Europa,Uberlândia/MG
38414-648,Rua Evaristo Atanásio de Melo,,Jardim Europa,Uberlândia/MG
38414-584,Rua Fernando Rodrigues Gil,,Jardim Europa,Uberlândia/MG
38414-705,Rua Ferrara,,Jardim Europa,Uberlândia/MG
38414-704,Rua Firenze,,Jardim Europa,Uberlândia/MG
38414-640,Rua Francisco Antônio de Castro,,Jardim Europa,Uberlândia/MG
38414-560,Rua Friburgo,,Jardim Europa,Uberlândia/MG
38414-574,Rua Genebra,,Jardim Europa,Uberlândia/MG
38414-553,Rua Génova,,Jardim Europa,Uberlândia/MG
38414-683,Rua Geraldo Borges Gama,,Jardim Europa,Uberlândia/MG
38414-684,Rua Geraldo Ferreira de Paula,,Jardim Europa,Uberlândia/MG
38414-563,Rua Hamburgo,,Jardim Europa,Uberlândia/MG
38414-568,Rua Hanover,,Jardim Europa,Uberlândia/MG
38414-634,Rua Honório Lemes,,Jardim Europa,Uberlândia/MG
38414-650,Rua Iolanda Alves Figueira,,Jardim Europa,Uberlândia/MG
38414-679,Rua Isabella Bortolozzo de Franca,,Jardim Europa,Uberlândia/MG
38414-521,Rua Istambul,,Jardim Europa,Uberlândia/MG
38414-654,Rua Jeronymo Cabral Menezes,,Jardim Europa,Uberlândia/MG
38414-672,Rua Joaquim Carneiro,,Jardim Europa,Uberlândia/MG
38414-632,Rua Jorge Ribeiro de Oliveira,,Jardim Europa,Uberlândia/MG
38414-569,Rua José Aparecido Martins Junior,,Jardim Europa,Uberlândia/MG
38414-656,Rua José de Souza Rezende,,Jardim Europa,Uberlândia/MG
38414-652,Rua Josefina da Fonseca e Silva,,Jardim Europa,Uberlândia/MG
38414-622,Rua Jota Ferreira,,Jardim Europa,Uberlândia/MG
38414-588,Rua Lion,,Jardim Europa,Uberlândia/MG
38414-566,Rua Liverpool,,Jardim Europa,Uberlândia/MG
38414-576,Rua Lourdes,,Jardim Europa,Uberlândia/MG
38414-571,Rua Luly Rocha de Paula Xavier,,Jardim Europa,Uberlândia/MG
38414-522,Rua Luxemburgo,,Jardim Europa,Uberlândia/MG
38414-565,Rua Manchester,,Jardim Europa,Uberlândia/MG
38414-695,Rua Mantova,,Jardim Europa,Uberlândia/MG
38414-674,Rua Manuel de Lima Maldonado,,Jardim Europa,Uberlândia/MG
38414-678,Rua Marco Aurelio Resende dos Santos,,Jardim Europa,Uberlândia/MG
38414-659,Rua Margarida de Carvalho,,Jardim Europa,Uberlândia/MG
38414-665,Rua Maria José da Cunha,,Jardim Europa,Uberlândia/MG
38414-541,Rua Milão,,Jardim Europa,Uberlândia/MG
38414-690,Rua Modena,,Jardim Europa,Uberlândia/MG
38414-550,Rua Monza,,Jardim Europa,Uberlândia/MG
38414-561,Rua Munique,,Jardim Europa,Uberlândia/MG
38414-540,Rua Nápoles,,Jardim Europa,Uberlândia/MG
38414-644,Rua Neilton Cobo Victor,,Jardim Europa,Uberlândia/MG
38414-573,Rua Nice,,Jardim Europa,Uberlândia/MG
38414-625,Rua Olívia Ribeiro de Sá,,CEP Jardim Europa Uberlândia/MG,Uberlândia/MG
38414-688,Rua Olivia Ribeiro de Sá,,CEP Jardim Europa Uberlândia/MG,Uberlândia/MG
38414-552,Rua Orleans,,Jardim Europa,Uberlândia/MG
38414-558,Rua Orvieto,,Jardim Europa,Uberlândia/MG
38414-580,Rua Orzinda Lemes Montana,,Jardim Europa,Uberlândia/MG
38414-572,Rua Osmar de Castro,,Jardim Europa,Uberlândia/MG
38414-687,Rua Padre Landell de Moura,,Jardim Europa,Uberlândia/MG
38414-539,Rua Palérmo,,Jardim Europa,Uberlândia/MG
38414-614,Rua Parma,,Jardim Europa,Uberlândia/MG
38414-543,Rua Pedro Amâncio Moraes,,Jardim Europa,Uberlândia/MG
38414-692,Rua Perugia,,Jardim Europa,Uberlândia/MG
38414-604,Rua Piacenza,,Jardim Europa,Uberlândia/MG
38414-517,Rua Pisa,,Jardim Europa,Uberlândia/MG
38414-579,Rua Pôrto,,Jardim Europa,Uberlândia/MG
38414-624,Rua Raimundo Martins de Almeida Cavalcante,,Jardim Europa,Uberlândia/MG
38414-694,Rua Ravena,,Jardim Europa,Uberlândia/MG
38414-475,Rua Regina Alves das Dores,,Jardim Europa,Uberlândia/MG
38414-636,Rua Reginaldo Francisco Alves,,Jardim Europa,Uberlândia/MG
38414-700,Rua Riete,,Jardim Europa,Uberlândia/MG
38414-577,Rua Rio Corumbá,,Jardim Europa,Uberlândia/MG
38414-525,Rua Rio Doce,,Jardim Europa,Uberlândia/MG
38414-536,Rua Rio Solimões,,Jardim Europa,Uberlândia/MG
38414-706,Rua Risde Attiê,,Jardim Europa,Uberlândia/MG
38414-581,Rua Roberto Carlos Medeiros,,Jardim Europa,Uberlândia/MG
38414-527,Rua Roberto Ferreira,,Jardim Europa,Uberlândia/MG
38414-551,Rua Roterdã,,Jardim Europa,Uberlândia/MG
38414-689,Rua Salerno,,Jardim Europa,Uberlândia/MG
38414-526,Rua Sardenha,,Jardim Europa,Uberlândia/MG
38414-533,Rua Sevilha,,Jardim Europa,Uberlândia/MG
38414-546,Rua Sicília,,Jardim Europa,Uberlândia/MG
38414-682,Rua Simão Pinto Machado,,Jardim Europa,Uberlândia/MG
38414-609,Rua Sorrento,,Jardim Europa,Uberlândia/MG
38414-612,Rua Spoleto,,Jardim Europa,Uberlândia/MG
38414-610,Rua Taranto,,Jardim Europa,Uberlândia/MG
38414-638,Rua Terezinha de Lelis Defensor,,Jardim Europa,Uberlândia/MG
38414-613,Rua Torino,,Jardim Europa,Uberlândia/MG
38414-537,Rua Turím,,Jardim Europa,Uberlândia/MG
38414-555,Rua Udine,,Jardim Europa,Uberlândia/MG
38414-532,Rua Valência,,Jardim Europa,Uberlândia/MG
38414-523,Rua Varsóvia,,Jardim Europa,Uberlândia/MG
38414-538,Rua Vaticano,,Jardim Europa,Uberlândia/MG
38414-601,Rua Verona,,Jardim Europa,Uberlândia/MG
38414-575,Rua Versalhes,,Jardim Europa,Uberlândia/MG
38414-616,Rua Vicenza,,Jardim Europa,Uberlândia/MG
38414-608,Rua Viterbo,,Jardim Europa,Uberlândia/MG
38414-626,Rua Wesley Cintra,,Jardim Europa,Uberlândia/MG
38414-699,Rua Yole Fonseca Ribeiro,,Jardim Europa,Uberlândia/MG
38414-559,Rua Zurique,,Jardim Europa,Uberlândia/MG
38408-061,Rua João Coletor,,Jardim Finotti,Uberlândia/MG
38408-148,Rua Virgílio M. Leite,,Jardim Finotti,Uberlândia/MG
38412-888,Alameda Adilson Baccili,,Jardim Holanda,Uberlândia/MG
38412-852,Alameda Anísio Manoel de Oliveira,,Jardim Holanda,Uberlândia/MG
38412-868,Alameda Anna Mendonça Rodrigues,,Jardim Holanda,Uberlândia/MG
38412-889,Alameda Antonio Cláudio Ricardo Souza,,Jardim Holanda,Uberlândia/MG
38412-871,Alameda Asdrubal Galvão,,Jardim Holanda,Uberlândia/MG
38412-853,Alameda Auta Maria do Nascimento,,Jardim Holanda,Uberlândia/MG
38412-887,Alameda Benedito José de Souza,,Jardim Holanda,Uberlândia/MG
38412-873,Alameda Bertoldo Antônio Borges,,Jardim Holanda,Uberlândia/MG
38412-866,Alameda Bladilei Alves Cardoso,,Jardim Holanda,Uberlândia/MG
38412-867,Alameda Brito,,Jardim Holanda,Uberlândia/MG
38412-850,Alameda Cantidio Cardoso Magalhães,,Jardim Holanda,Uberlândia/MG
38412-860,Alameda Carlos Alberto Stort,,Jardim Holanda,Uberlândia/MG
38412-318,Alameda Corretor de Imóveis,,Jardim Holanda,Uberlândia/MG
38412-877,Alameda Deocleciano Martins,,Jardim Holanda,Uberlândia/MG
38412-854,Alameda Dina Lina Ferreira,,Jardim Holanda,Uberlândia/MG
38412-862,Alameda Divina Araújo de Almeida,,Jardim Holanda,Uberlândia/MG
38412-856,Alameda Emiliano Borges Silva,,Jardim Holanda,Uberlândia/MG
38412-882,Alameda Fatureto,,Jardim Holanda,Uberlândia/MG
38412-885,Alameda Francisco Elias Pereira,,Jardim Holanda,Uberlândia/MG
38412-330,Alameda Jardim Holanda,,Jardim Holanda,Uberlândia/MG
38412-858,Alameda Jecy Lemes Etchegaray,,Jardim Holanda,Uberlândia/MG
38412-881,Alameda João de Almeida,,Jardim Holanda,Uberlândia/MG
38412-864,Alameda João Pereira de Carvalho,,Jardim Holanda,Uberlândia/MG
38412-872,Alameda Jordelina Borges,,Jardim Holanda,Uberlândia/MG
38412-880,Alameda José de Oliveira,(Zé Flamengo),Jardim Holanda,Uberlândia/MG
38412-324,Alameda José de Oliveira Guimarães,,Jardim Holanda,Uberlândia/MG
38412-865,Alameda José Salvador Silva,,Jardim Holanda,Uberlândia/MG
38412-875,Alameda Lobato,,Jardim Holanda,Uberlândia/MG
38412-874,Alameda Luiza Aguida Borges,,Jardim Holanda,Uberlândia/MG
38412-857,Alameda Maria Custódia Magalhães,,Jardim Holanda,Uberlândia/MG
38412-861,Alameda Neuza Borges da Fonseca,,Jardim Holanda,Uberlândia/MG
38412-859,Alameda Nicolau de Oliveira Campos,,Jardim Holanda,Uberlândia/MG
38412-851,Alameda Olga Del Guerra Galvão,,Jardim Holanda,Uberlândia/MG
38412-855,Alameda Olívio Zacarias Silva,,Jardim Holanda,Uberlândia/MG
38412-870,Alameda Otávio Rodrigues de Oliveira,,Jardim Holanda,Uberlândia/MG
38412-326,Alameda Paulo César Santana,,Jardim Holanda,Uberlândia/MG
38412-328,Alameda Rafael Magela Zanon,,Jardim Holanda,Uberlândia/MG
38412-876,Alameda Rodrigo Pereira de Souza,,Jardim Holanda,Uberlândia/MG
38412-883,Alameda Sebastião Fernandes Vasconcelos,,Jardim Holanda,Uberlândia/MG
38412-886,Alameda Sebastião Lourenço da Rocha,,Jardim Holanda,Uberlândia/MG
38412-884,Alameda Sivone Teodoro da Silva,,Jardim Holanda,Uberlândia/MG
38412-879,Alameda Tronconi,,Jardim Holanda,Uberlândia/MG
38412-863,Avenida Alice de Oliveira e Silva,,Jardim Holanda,Uberlândia/MG
38412-320,Avenida Olímpio de Freitas,,Jardim Holanda,Uberlândia/MG
38412-325,Avenida Palestina,- até 1013 - lado ímpar,Jardim Holanda,Uberlândia/MG
38412-322,Avenida Paulo Firmino,- lado ímpar,Jardim Holanda,Uberlândia/MG
38412-838,Rua Aimorés,,Jardim Holanda,Uberlândia/MG
38412-820,Rua Alterosa,,Jardim Holanda,Uberlândia/MG
38412-840,Rua Borda da Mata,,Jardim Holanda,Uberlândia/MG
38412-828,Rua Cabo Verde,,Jardim Holanda,Uberlândia/MG
38412-830,Rua Caiana,,Jardim Holanda,Uberlândia/MG
38412-824,Rua Campo Azul,,Jardim Holanda,Uberlândia/MG
38412-826,Rua Campos Alto,,Jardim Holanda,Uberlândia/MG
38412-822,Rua Coqueiral,,Jardim Holanda,Uberlândia/MG
38412-845,Rua das Mangueiras,,Jardim Holanda,Uberlândia/MG
38412-813,Rua Décio Carvalho,,Jardim Holanda,Uberlândia/MG
38412-807,Rua Diná Silva Lino,,Jardim Holanda,Uberlândia/MG
38412-844,Rua Divisa Alegre,,Jardim Holanda,Uberlândia/MG
38412-842,Rua dos Carvalhos,,Jardim Holanda,Uberlândia/MG
38412-834,Rua dos Cristais,,Jardim Holanda,Uberlândia/MG
38412-843,Rua Dylan Eduardo,,Jardim Holanda,Uberlândia/MG
38412-878,Rua Edson Alves Ferreira,,Jardim Holanda,Uberlândia/MG
38412-811,Rua Egna Aparecida Calura Pinto,,Jardim Holanda,Uberlândia/MG
38412-836,Rua Esmeralda,,Jardim Holanda,Uberlândia/MG
38412-808,Rua Geraldo Magela da Silva,,Jardim Holanda,Uberlândia/MG
38412-832,Rua Mato Dentro,,Jardim Holanda,Uberlândia/MG
38412-809,Rua Rosária Luciana da Silva,,Jardim Holanda,Uberlândia/MG
38412-812,Rua Seis,(Lot Jrd Palmeiras III),Jardim Holanda,Uberlândia/MG
38411-258,Alameda Alvarenga Peixoto,,Jardim Inconfidência,Uberlândia/MG
38411-250,Alameda da Colônia,,Jardim Inconfidência,Uberlândia/MG
38411-236,Alameda da Devassa,,Jardim Inconfidência,Uberlândia/MG
38411-252,Alameda da Pedra Polida,,Jardim Inconfidência,Uberlândia/MG
38411-264,Alameda do Escultor,,Jardim Inconfidência,Uberlândia/MG
38411-246,Alameda do Largo da Lampadoza,,Jardim Inconfidência,Uberlândia/MG
38411-242,Alameda do Regresso,,Jardim Inconfidência,Uberlândia/MG
38411-266,Alameda Domingos de Abreu Vieira,,Jardim Inconfidência,Uberlândia/MG
38411-270,Alameda dos Republicanos,,Jardim Inconfidência,Uberlândia/MG
38411-256,Alameda dos Saraus,,Jardim Inconfidência,Uberlândia/MG
38411-272,Alameda dos Sinos,,Jardim Inconfidência,Uberlândia/MG
38411-238,Alameda Francisco José de Melo,,Jardim Inconfidência,Uberlândia/MG
38411-260,Alameda Frei Andrade,,Jardim Inconfidência,Uberlândia/MG
38411-244,Alameda João Dias da Mota,,Jardim Inconfidência,Uberlândia/MG
38411-248,Alameda João Martins Borges,,Jardim Inconfidência,Uberlândia/MG
38411-274,Alameda José Aires Gomes,,Jardim Inconfidência,Uberlândia/MG
38411-262,Alameda Mariana,,Jardim Inconfidência,Uberlândia/MG
38411-276,Alameda Marília de Dirceu,,Jardim Inconfidência,Uberlândia/MG
38411-240,Alameda Padre Lopes de Oliveira,,Jardim Inconfidência,Uberlândia/MG
38411-230,Alameda Padre Manoel da Costa,,Jardim Inconfidência,Uberlândia/MG
38411-232,Alameda Padre Toledo,,Jardim Inconfidência,Uberlândia/MG
38411-268,Alameda Victoriano Gonçalves Veloso,,Jardim Inconfidência,Uberlândia/MG
38411-231,Avenida Anna Cardoso de Miranda,,Jardim Inconfidência,Uberlândia/MG
38411-254,Avenida Antônio Francisco Lisboa,,Jardim Inconfidência,Uberlândia/MG
38411-228,Avenida dos Inconfidentes,,Jardim Inconfidência,Uberlândia/MG
38411-229,Avenida Geraldo Abrão,,Jardim Inconfidência,Uberlândia/MG
38411-630,Avenida Luiz Fernando Quirino,,Jardim Inconfidência,Uberlândia/MG
38411-282,Avenida Tomaz Antônio Gonzaga,,Jardim Inconfidência,Uberlândia/MG
38411-475,Avenida Vereador Carlito Cordeiro,,Jardim Inconfidência,Uberlândia/MG
38411-646,Rotatória Aristides Bernardes Rezende,,Jardim Inconfidência,Uberlândia/MG
38411-638,Rua Agata,,Jardim Inconfidência,Uberlândia/MG
38411-644,Rua Alexandrita,,Jardim Inconfidência,Uberlândia/MG
38411-633,Rua Amazonita,,Jardim Inconfidência,Uberlândia/MG
