ID_VivaReal,UnitType,ListingType,State,City,Neighborhood,Street,StreetNumber,ZipCode,Title,ExternalId,Price,Iptu,CondominiumFee,UsableAreas,Bedrooms,Bathrooms,Suites,ParkingSpaces,Status,Amenties,Description,CreatedAt,Floors,Advertiser_Name,Advertiser_License,Advertiser_Phone_Primary,Advertiser_Phone_Mobile,Url_Place
2662611788,APARTMENT,USED,Minas Gerais,Uberlândia,Santa Mônica,Rua João Balbino,1530,38408262,Belíssimo Apto no Santa Mônica com Linda Vista - Uberlândia - MG,19QSRRV,850000,986,785,102,3,2,1,2,ACTIVE,,"Belíssimo Apto no Santa Mônica com Linda Vista<br><br>São 102 m2, Venda com toda mobília inclusa, todos itens de altíssimo padrão!!!<br><br>* Sala Ampla em 2 Ambientes<br>* Varanda Gourmet com Churrasqueira a Carvão com Belíssima Vista do Por do Sol<br><br>* Cozinha Convencional<br>* Área de serviço separada<br><br>* Banheiro Social<br>* 3 Quartos sendo Um Suíte<br><br>* 2 Vagas de Garagems<br><br>CONDOMÍNIO CLUBE COMLETO: <br>*Piscina<br>* Academia<br>* Salão de festa<br>* Play kids<br>* Espaço Gourmet<br>* Portaria 24 horas<br>* Valor Condomínio R$ 785,00<br><br>* Financiável<br><br>Visitas ao Imóvel - THIAGO FERNANDO<br>34 9 9977.0219 Whats<br>CRECI: 31.103<br><br>OBS: SÓ SERÃO RESPONDIDOS OS EMAILS COM CONTATO TELEFÔNICO<br>""Não faça negócio no escuro, procure sempre um Corretor de Imóveis.""",2023-10-16T18:17:40.352Z,[13],Thiago Fernando Silva,31103-F-MG,34999770219,34999770219,https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-monica-bairros-uberlandia-com-garagem-102m2-venda-RS850000-id-2662611788/
2662371056,APARTMENT,USED,Minas Gerais,Uberlândia,Santa Mônica,Rua João Velasco de Andrade,1677,38408202,Apartamento para venda com 70 metros quadrados com 3 quartos em Santa Mônica - Uberlândia - MG,1CH8F7B,220000,300,200,70,3,2,1,1,ACTIVE,,O apartamento no bairro Santa Mônica com 70 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros<br>Vai lhe possibilitar todo o conforto do ar condicionado nos dias mais quentes.,2023-10-15T13:54:40.052Z,[],JOSE LUIZ PARREIRA GARCIA,18109-F-MG,34996825041,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-monica-bairros-uberlandia-com-garagem-70m2-venda-RS220000-id-2662371056/
2662052323,APARTMENT,USED,Minas Gerais,Uberlândia,Jardim Europa,,,38414625,Apartamento Padrão em Uberlândia,V49661,150900,0,0,44,2,2,1,1,ACTIVE,,"São 02 torres com 208 apartamentos distribuídos em 13 andares.<br>Condomínio com portaria preparada para monitoramento 24 horas, área de lazer entre as torres, salão de festas, espaço gourmet, área de convivência, piscina, espaço fitness, espaço bike e 02 elevadores.<br>Apartamentos de 02 quartos - 44,10m², sem suíte e sem sacada.<br>Apartamentos de 02 quartos - 46,00m², sem suíte e sem sacada.<br>Apartamentos de 02 quartos - 52,50m², com suíte e com sacada.<br><br>As unidades dos térreos terão quintal (área privativa).<br>Valores à partir de R$. ref. 49661 atualizado em 17/10.",2023-10-14T02:46:08.647Z,[],Ivan Negócios Imobiliários (V),0684-J-MG,3432563000,34998833000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-europa-bairros-uberlandia-com-garagem-44m2-venda-RS150900-id-2662052323/
2662093600,APARTMENT,USED,Minas Gerais,Uberlândia,Saraiva,Rua Coronel Antônio Alves Pereira,,38408370,"Apartamento à venda, 3 quartos, 1 suíte, 1 vaga, SARAIVA - Uberlândia/MG",14045,260000,0,200,88,3,2,1,1,ACTIVE,,"Apartamento localizado no bairro Saraiva, com aproximadamente 88m² de área privativa, com 03 quartos sendo 02 com armários (01 suíte), banheiro social, sala com sacada, cozinha com armários e bancada, área de serviço, 01 vaga de garagem.",2023-10-14T06:22:50.964Z,[0],ARANTES IMOVEIS,03959-J-SP,3432283999,34996873647,https://www.vivareal.com.br/imovel/apartamento-3-quartos-saraiva-bairros-uberlandia-com-garagem-88m2-venda-RS260000-id-2662093600/
2594319368,APARTMENT,USED,Minas Gerais,Uberlândia,Santa Mônica,Rua João Balbino,1753,38408262,Apartamento para venda com 96 metros quadrados com 3 quartos em Santa Mônica - Uberlândia - MG,ap0938,730000,1000,650,96,3,2,1,2,ACTIVE,,"Apartamento a venda em Santa Mônica, 3 quartos com 96 metros, zona leste de Uberlândia;<br><br>apartamento com 3/4 sendo um suíte.<br>Sala em dois ambientes, vista centro. <br>Lavanderia separada com marcenaria.<br>Cozinha toda montada na marcenaria.<br>varanda gourmet com churrasqueira a carvão,<br>02 vagas de garagem,<br>Condomínio com lazer:<br>Piscina Adulto/ Infantil,<br>Espaço Gourmet,<br>Playground,<br>Salão de festa,<br>Academia,<br>Hall de entrada.<br>Todas as áreas comuns decorado e mobiliado.",2022-11-21T22:00:38.409Z,[10],Fernando Pontes Guedes,,34996499148,34996499148,https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-monica-bairros-uberlandia-com-garagem-96m2-venda-RS730000-id-2594319368/
2628285112,APARTMENT,DEVELOPMENT,Minas Gerais,Uberlândia,Santa Mônica,Rua João Velasco de Andrade,s/n,38408202,Velasco 655,Velasco 655,224000,0,0,25,1,1,1,1,ACTIVE,,"LANÇAMENTO! Studios ao lado da Ufu Santa Mônica com rentabilidade de até 1%. Excelente opção de investimento. Studios de 25 a 35m², em prédio com elevador, portaria, coworking e bicicletário. Produto com exlcusividade Delta Imóveis, fale com nossos consultores e conheça tudo sobre este excelente empreenidmento.<br><br>Ao lado da Ufu Santa Mônica <br><br>elevador, portaria, coworking, bicicletário",2023-04-25T13:35:00.266Z,[],DELTA IMOVEIS,01873-J-MG,3432309900,3432309900,https://www.vivareal.com.br/imoveis-lancamento/velasco-655-2628285112/
2662010968,APARTMENT,USED,Minas Gerais,Uberlândia,Morada da Colina,Avenida Liberdade,1302,38411002,Vendo Apartamento no Morada da Colina,AP5056SO,1100000,900,900,127,3,4,3,2,ACTIVE,,"Para você que deseja o privilégio de estar cercado de tranquilidade, beleza e a praticidade de estar a poucos minutos de tudo.<br><br>*Suíte master com espaço para cama king (com closet isolado), e 2 suítes com espaço para cama queen size.<br>*Preparação para ar-condicionado nas suítes e sala,<br>*Salas de estar e jantar integradas,<br>*Varanda gourmet com churrasqueira a carvão,<br>*Lavabo,<br>*Cozinha com bancadas em granito,<br>*Área de serviço,<br>*Banheiro de serviço,<br>*Hall do prédio com pé direito duplo,<br>*Elevador amplo,<br>*Piscina com deck,<br>*Salão de festas com cozinha gourmet,<br>*Playground,<br>*Pet care,<br>*Valor e disponibilidade sujeitos a alteração.<br><br>Fale direto com o Responsável no Anúncio <br>Ou Copie e Cole no Google: soarescorretor.minhanova.casa",2023-10-13T22:19:42.696Z,[14],Marcos Júnior,,34992222639,34992222639,https://www.vivareal.com.br/imovel/apartamento-3-quartos-morada-da-colina-bairros-uberlandia-com-garagem-127m2-venda-RS1100000-id-2662010968/
2655652276,APARTMENT,USED,Minas Gerais,Uberlândia,Shopping Park,Rua Luiz Fuad Abib,,38425385,Apartamento 2/4 Shoping Park,174,140000,,220,44,2,1,,1,ACTIVE,,"Vendo apartamento 2/4 Bairro Shoping Park. <br>Apartamento composto de :<br>02 quartos com embutidos de excelente qualidade;<br>01 banheiros com armário, box e espelho;<br>Cozinha americana e lavanderia com armários planejados;<br>Sala espaçosa.<br>No condomínio temos quadra poliesportiva, parquinho para as crianças, area de jardim, salão de festas e espaço para churrasco.<br><br>Aprovamos seu crédito!!<br><br>Para agendamento de visitas e mais informações Junior",2023-09-14T09:56:35.363Z,[],Imobiliária Cadore & Silva,18415-F-MG,34992802562,34992802562,https://www.vivareal.com.br/imovel/apartamento-2-quartos-shopping-park-bairros-uberlandia-com-garagem-44m2-venda-RS140000-id-2655652276/
2648790510,APARTMENT,USED,Minas Gerais,Uberlândia,Morada da Colina,Avenida Liberdade,1302,38411002,Apartamento para venda com 127 metros quadrados com 3 suítes Av Liberdade - Uberlandia,RA52052010,1150000,0,0,127,3,5,3,2,ACTIVE,,"O projeto foi concebido para fazer a diferença na vida pessoas que irão viver no Villagio Liberdade. Uma localização exclusiva com uma planta de 127 m2, espaços otimizados, este projeto tem todos os diferenciais para tornar a sua próxima moradia.<br> <br><br>127m2<br>■ 03 suítes sendo 01 master.<br>■ Suíte master com closet e banheiro com cuba<br>dupla<br>■ Varanda com churrasqueira<br>■ Sala de jantar e TV integrada<br>■ Lavabo para visitas <br>■ Banheiro de serviço que pode<br> ser convertido em despensa <br><br>ÁREAS COMUNS DO PRÉDIO:<br><br>Hall do Prédio com pé direito duplo<br>Elevador Amplo<br>Deck com Piscina<br>Salão Gourmet<br>Espaço Pet<br>Edícula para Pedestres e Veículos<br>Foco em Segurança e Condomínio Acessível<br>Agende já sua visita 👇🏻",2023-08-09T16:49:58.860Z,[],DO SEU JEITO IMÓVEIS,21002-F-MG,34996931202,34996931202,https://www.vivareal.com.br/imovel/apartamento-3-quartos-morada-da-colina-bairros-uberlandia-com-garagem-127m2-venda-RS1150000-id-2648790510/
2662510560,APARTMENT,USED,Minas Gerais,Uberlândia,Santa Mônica,Rua Patrulheiro Osmar Tavares,100,38408294,Apartamento em Rua Patrulheiro Osmar Tavares - Santa Mônica - Uberlândia/MG,347108B,314770,300,200,88,3,2,1,2,ACTIVE,,"Apartamento no Edificio Shalon a venda em Rua Patrulheiro Osmar Tavares - Santa Mônica - Uberlândia/MG<br><br>Apartamento à venda no bairro Santa Monica em Uberlândia/MG<br>Apartamento no terceiro andar, medindo 88,66m²;<br>Com frente para o sol nascente;<br>Decorado com sanca em gesso;<br>Apartamento todo montado com armário;<br>3 quartos com armários, sendo um suíte; <br>Banheiro social;<br>Banheiros com box e armários;<br>Sala em 2 ambientes;<br>Sacada; <br> Cozinha com bancada em granito e armário;<br>Lavanderia independente e com armário;<br>2 vagas de garagem; <br>Assista nosso vídeo no final do anuncio para obter mais informações e ligue-nos ou deixe sua mensagem, teremos o imenso prazer em atendê-los<br><br>Aceita financiamento de até 80% e FGTS como parte do pagamento.<br><br>ATENÇÃO: os preços, valores, tabela, disponibilidade e informações acima exibidos, poderão sofrer mudanças sem prévio aviso e a qualquer tempo, a critério dos proprietários. <br><br>Por este motivo todos os preços e informações deverão ser confirmados pelo corretor. <br><br>Tipo do imóvel: Apartamento<br>Metragem útil: 88m²<br>Total dormitórios: 3<br>Total suítes: 1<br>Localização: Santa Mônica | Uberlândia<br>Valor: R$315.000<br><br>Venha para o bairro Santa Mônica, em Uberlândia!<br><br>Aqui você encontra um lugar cheio de história, cultura e tradição. O bairro Santa Mônica foi fundado em meados do século XIX, quando a cidade de Uberlândia ainda era pouco desenvolvida.<br><br>Hoje, o bairro Santa Mônica é um dos mais tradicionais e bem localizados da cidade. Aqui você encontra tudo o que precisa para ter uma vida tranquila e confortável.<br><br>O bairro Santa Mônica conta com diversas opções de lazer, como parques, cinemas, restaurantes, bares e muito mais. Além disso, aqui você encontra tudo o que precisa para suas compras, como supermercados, farmácias, lojas de roupas e muito mais.<br><br>Venha para o bairro Santa Mônica, em Uberlândia. Aqui você encontra o melhor da cidade, com toda a comodidade e segurança que você precisa para viver bem.<br><br>Clique no botão ao lado e iremos entrar em contato para te ajudar na busca pelo imóvel ideal!<br><br>A NEWCORE possui diversas equipes especializadas em várias regiões do Brasil, com corretores experientes e capacitados que te ajudarão a encontrar o imóvel dos seus sonhos<br>Anúncio do corretor de imóveis Carlos Augusto Da Costa Alves CRECI: 29908",2023-10-16T10:28:10.986Z,[],USUÁRIO NEWCORE,,1145804274,11958196257,https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-monica-bairros-uberlandia-com-garagem-88m2-venda-RS314770-id-2662510560/
2661406181,APARTMENT,USED,Minas Gerais,Uberlândia,Grand Ville,Alameda dos Mandarins,,38407661,"Apartamento à venda, 2 quartos, 1 vaga, GRAND VILLE - Uberlândia/MG",14026,319681,0,0,44,2,1,0,1,ACTIVE,,"Grand Prime - Condomínio Clube, é o super lançamento da Realiza Construtora, localizado no bairro Grand Ville, na Zona Leste de Uberlândia, com 06 Torres com 80 apartamentos cada, com várias opções de plantas de 44,23m² a 117,61m², com 02 ou 03 quartos, sendo 01 suíte e/ou suíte reversível, sala, varanda, banheiro, cozinha, área de serviço. 01 vaga de garagem. Bela área de lazer.",2023-10-11T06:10:54.706Z,[2],ARANTES IMOVEIS,03959-J-SP,3432283999,34996873647,https://www.vivareal.com.br/imovel/apartamento-2-quartos-grand-ville-bairros-uberlandia-com-garagem-44m2-venda-RS319681-id-2661406181/
2638638200,APARTMENT,USED,Minas Gerais,Uberlândia,Jardim Europa,,,38414529,UBERLÂNDIA - Apartamento Padrão - JARDIM EUROPA,AP00120,210500,150,150,58,2,2,1,1,ACTIVE,,"Apartamento 58m2 com 2/4, sendo uma suíte no bairro Jardim Europa em Uberlândia<br><br>2 quartos, sendo uma suíte;<br>Banheiros com Box;<br>Piso em porcelanato polido;<br>Sala de TV e Jantar; <br>Cozinha com armários planejados;<br>1 vaga de garagem;<br>Área privativa com 58m2;<br><br>ULTRA IMÓVEIS<br><br>Fale conosco:() -",2023-06-16T03:42:40.986Z,[],Ultra Imóveis,,34999607710,34999607710,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-europa-bairros-uberlandia-com-garagem-58m2-venda-RS210500-id-2638638200/
2660147959,APARTMENT,USED,Minas Gerais,Uberlândia,Santa Mônica,Rua José Miguel Saramago,1390,38408222,Apartamento para venda com 107 metros quadrados com 3 quartos em Santa Mônica - Uberlândia - MG,AP4846-GS,800000,450,750,107,3,3,1,2,ACTIVE,,"O apartamento no bairro Santa Mônica possui 107 metros quadrados com 3 quartos sendo 1 suite e 3 banheiros<br>Possui área de fitness, espaço gourmet, parquinho com diferentes brinquedos, salão de festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais quentes.Espaço reservado para preparar o seu churrasco.<br>Elevador que garante o transporte das suas malas e compras.<br>Encontra-se em um condomínio protegido por muros.<br>É mobiliado.",2023-10-05T15:33:00.845Z,[10],Marcos Júnior,,34992222639,34992222639,https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-monica-bairros-uberlandia-com-garagem-107m2-venda-RS800000-id-2660147959/
